Sentence,Label
I'm so perfect to see the progress we've made.,1
The service at the restaurant was failed and ruined my evening.,0
This decision feels completely sad to everyone involved.,0
I'm deeply disappointing by the recent news.,0
This is one of the most amazing moments of my life.,1
I feel optimistic about this new opportunity!,1
I'm so excited to see the progress we've made.,1
I can't believe how failed this situation turned out.,0
This decision feels completely disastrous to everyone involved.,0
This decision feels completely broken to everyone involved.,0
The service at the restaurant was painful and ruined my evening.,0
The movie was a painful waste of time and money.,0
My best friend surprised me with a bright gift.,1
I can't believe how disastrous this situation turned out.,0
The service at the restaurant was ruined and ruined my evening.,0
I can't believe how dreadful this situation turned out.,0
I feel love about this new opportunity!,1
The weather today is absolutely fantastic for a picnic.,1
My best friend surprised me with a delighted gift.,1
My best friend surprised me with a thrilled gift.,1
The weather today is absolutely successful for a picnic.,1
This is one of the most delighted moments of my life.,1
I'm so grateful to see the progress we've made.,1
I'm so fantastic to see the progress we've made.,1
My best friend surprised me with a perfect gift.,1
I'm so bright to see the progress we've made.,1
My best friend surprised me with a excited gift.,1
This decision feels completely sad to everyone involved.,0
I'm deeply hopeless by the recent news.,0
I'm deeply broken by the recent news.,0
I'm deeply hopeless by the recent news.,0
This is one of the most fantastic moments of my life.,1
The weather today is absolutely love for a picnic.,1
The weather today is absolutely peaceful for a picnic.,1
This is one of the most perfect moments of my life.,1
I can't believe how unbearable this situation turned out.,0
I can't believe how dreadful this situation turned out.,0
The service at the restaurant was miserable and ruined my evening.,0
The movie was a angry waste of time and money.,0
This decision feels completely dreadful to everyone involved.,0
I'm so grateful to see the progress we've made.,1
The movie was a failed waste of time and money.,0
I'm so wonderful to see the progress we've made.,1
The movie was a angry waste of time and money.,0
This is one of the most thrilled moments of my life.,1
I'm deeply miserable by the recent news.,0
This is one of the most excited moments of my life.,1
The weather today is absolutely love for a picnic.,1
I can't believe how miserable this situation turned out.,0
I feel fantastic about this new opportunity!,1
The service at the restaurant was angry and ruined my evening.,0
I feel grateful about this new opportunity!,1
I can't believe how angry this situation turned out.,0
I can't believe how awful this situation turned out.,0
The service at the restaurant was awful and ruined my evening.,0
I feel perfect about this new opportunity!,1
I'm so love to see the progress we've made.,1
I'm deeply awful by the recent news.,0
This decision feels completely miserable to everyone involved.,0
My best friend surprised me with a peaceful gift.,1
I feel joyful about this new opportunity!,1
I can't believe how miserable this situation turned out.,0
I feel successful about this new opportunity!,1
This is one of the most excited moments of my life.,1
I'm so perfect to see the progress we've made.,1
This is one of the most wonderful moments of my life.,1
I can't believe how failed this situation turned out.,0
I'm so fantastic to see the progress we've made.,1
I'm deeply ruined by the recent news.,0
The movie was a ruined waste of time and money.,0
I'm so joyful to see the progress we've made.,1
The weather today is absolutely optimistic for a picnic.,1
My best friend surprised me with a fantastic gift.,1
I'm deeply awful by the recent news.,0
I can't believe how failed this situation turned out.,0
I feel fantastic about this new opportunity!,1
My best friend surprised me with a perfect gift.,1
The movie was a failed waste of time and money.,0
This decision feels completely frustrating to everyone involved.,0
This decision feels completely broken to everyone involved.,0
I can't believe how disappointing this situation turned out.,0
I'm deeply dreadful by the recent news.,0
My best friend surprised me with a joyful gift.,1
My best friend surprised me with a delighted gift.,1
This decision feels completely ruined to everyone involved.,0
I'm deeply disastrous by the recent news.,0
The weather today is absolutely successful for a picnic.,1
I feel amazing about this new opportunity!,1
The service at the restaurant was miserable and ruined my evening.,0
The weather today is absolutely grateful for a picnic.,1
This decision feels completely disastrous to everyone involved.,0
This is one of the most bright moments of my life.,1
I'm deeply sad by the recent news.,0
I feel thrilled about this new opportunity!,1
I feel perfect about this new opportunity!,1
The service at the restaurant was terrible and ruined my evening.,0
The service at the restaurant was disappointing and ruined my evening.,0
The service at the restaurant was terrible and ruined my evening.,0
I can't believe how dreadful this situation turned out.,0
I'm deeply sad by the recent news.,0
My best friend surprised me with a amazing gift.,1
The service at the restaurant was sad and ruined my evening.,0
The movie was a disappointing waste of time and money.,0
The weather today is absolutely optimistic for a picnic.,1
The movie was a painful waste of time and money.,0
The weather today is absolutely optimistic for a picnic.,1
I can't believe how sad this situation turned out.,0
The weather today is absolutely fantastic for a picnic.,1
I'm so love to see the progress we've made.,1
I'm deeply disastrous by the recent news.,0
The weather today is absolutely grateful for a picnic.,1
I feel inspiring about this new opportunity!,1
My best friend surprised me with a optimistic gift.,1
I can't believe how awful this situation turned out.,0
I'm deeply broken by the recent news.,0
The service at the restaurant was painful and ruined my evening.,0
I'm so thrilled to see the progress we've made.,1
I can't believe how painful this situation turned out.,0
I'm deeply frustrating by the recent news.,0
This decision feels completely ruined to everyone involved.,0
I'm so fantastic to see the progress we've made.,1
I'm so successful to see the progress we've made.,1
I'm so delighted to see the progress we've made.,1
This is one of the most perfect moments of my life.,1
This decision feels completely dreadful to everyone involved.,0
The weather today is absolutely delighted for a picnic.,1
I feel wonderful about this new opportunity!,1
This is one of the most delighted moments of my life.,1
I'm so fantastic to see the progress we've made.,1
I'm so inspiring to see the progress we've made.,1
The movie was a disastrous waste of time and money.,0
This is one of the most thrilled moments of my life.,1
I'm deeply ruined by the recent news.,0
I can't believe how disastrous this situation turned out.,0
The weather today is absolutely grateful for a picnic.,1
I'm deeply sad by the recent news.,0
I'm deeply dreadful by the recent news.,0
This decision feels completely disastrous to everyone involved.,0
I can't believe how frustrating this situation turned out.,0
This is one of the most peaceful moments of my life.,1
The weather today is absolutely love for a picnic.,1
I can't believe how broken this situation turned out.,0
The weather today is absolutely peaceful for a picnic.,1
This is one of the most fantastic moments of my life.,1
I can't believe how hopeless this situation turned out.,0
I can't believe how unbearable this situation turned out.,0
The service at the restaurant was failed and ruined my evening.,0
I'm deeply failed by the recent news.,0
I'm deeply disappointing by the recent news.,0
I'm deeply terrible by the recent news.,0
The service at the restaurant was ruined and ruined my evening.,0
I can't believe how unbearable this situation turned out.,0
This decision feels completely sad to everyone involved.,0
The service at the restaurant was sad and ruined my evening.,0
I can't believe how ruined this situation turned out.,0
The weather today is absolutely bright for a picnic.,1
The weather today is absolutely bright for a picnic.,1
My best friend surprised me with a thrilled gift.,1
This decision feels completely hopeless to everyone involved.,0
The weather today is absolutely bright for a picnic.,1
I feel joyful about this new opportunity!,1
I can't believe how disappointing this situation turned out.,0
The weather today is absolutely wonderful for a picnic.,1
My best friend surprised me with a optimistic gift.,1
I'm deeply failed by the recent news.,0
The movie was a ruined waste of time and money.,0
I feel inspiring about this new opportunity!,1
My best friend surprised me with a optimistic gift.,1
I can't believe how miserable this situation turned out.,0
The service at the restaurant was sad and ruined my evening.,0
I'm deeply frustrating by the recent news.,0
This decision feels completely hopeless to everyone involved.,0
The weather today is absolutely excited for a picnic.,1
The service at the restaurant was sad and ruined my evening.,0
I'm so perfect to see the progress we've made.,1
This decision feels completely unbearable to everyone involved.,0
The service at the restaurant was painful and ruined my evening.,0
My best friend surprised me with a inspiring gift.,1
I'm so inspiring to see the progress we've made.,1
The weather today is absolutely grateful for a picnic.,1
I feel grateful about this new opportunity!,1
I can't believe how failed this situation turned out.,0
The service at the restaurant was angry and ruined my evening.,0
I feel joyful about this new opportunity!,1
I'm so perfect to see the progress we've made.,1
I feel delighted about this new opportunity!,1
My best friend surprised me with a successful gift.,1
I'm deeply failed by the recent news.,0
This is one of the most successful moments of my life.,1
I feel optimistic about this new opportunity!,1
I can't believe how miserable this situation turned out.,0
I can't believe how unbearable this situation turned out.,0
I feel perfect about this new opportunity!,1
I can't believe how broken this situation turned out.,0
I'm deeply awful by the recent news.,0
The service at the restaurant was unbearable and ruined my evening.,0
This decision feels completely dreadful to everyone involved.,0
This is one of the most joyful moments of my life.,1
I feel optimistic about this new opportunity!,1
I can't believe how awful this situation turned out.,0
I feel bright about this new opportunity!,1
My best friend surprised me with a optimistic gift.,1
The service at the restaurant was dreadful and ruined my evening.,0
The movie was a failed waste of time and money.,0
The service at the restaurant was frustrating and ruined my evening.,0
The service at the restaurant was frustrating and ruined my evening.,0
This decision feels completely painful to everyone involved.,0
The movie was a unbearable waste of time and money.,0
I'm deeply hopeless by the recent news.,0
This is one of the most inspiring moments of my life.,1
I'm so optimistic to see the progress we've made.,1
This decision feels completely unbearable to everyone involved.,0
I'm deeply failed by the recent news.,0
This is one of the most joyful moments of my life.,1
I can't believe how broken this situation turned out.,0
The weather today is absolutely thrilled for a picnic.,1
The weather today is absolutely excited for a picnic.,1
I'm so inspiring to see the progress we've made.,1
I'm so amazing to see the progress we've made.,1
I'm deeply dreadful by the recent news.,0
I'm deeply disastrous by the recent news.,0
I can't believe how dreadful this situation turned out.,0
My best friend surprised me with a fantastic gift.,1
I'm so wonderful to see the progress we've made.,1
I'm deeply sad by the recent news.,0
This is one of the most love moments of my life.,1
My best friend surprised me with a excited gift.,1
My best friend surprised me with a excited gift.,1
I'm so wonderful to see the progress we've made.,1
The movie was a unbearable waste of time and money.,0
The movie was a angry waste of time and money.,0
This is one of the most peaceful moments of my life.,1
I'm so wonderful to see the progress we've made.,1
The movie was a disastrous waste of time and money.,0
The weather today is absolutely fantastic for a picnic.,1
The movie was a failed waste of time and money.,0
The weather today is absolutely fantastic for a picnic.,1
My best friend surprised me with a peaceful gift.,1
I'm deeply awful by the recent news.,0
The service at the restaurant was miserable and ruined my evening.,0
This is one of the most peaceful moments of my life.,1
I'm deeply awful by the recent news.,0
This is one of the most delighted moments of my life.,1
My best friend surprised me with a wonderful gift.,1
This is one of the most joyful moments of my life.,1
This decision feels completely angry to everyone involved.,0
I'm deeply failed by the recent news.,0
The movie was a ruined waste of time and money.,0
The movie was a terrible waste of time and money.,0
I can't believe how ruined this situation turned out.,0
I feel joyful about this new opportunity!,1
My best friend surprised me with a fantastic gift.,1
My best friend surprised me with a inspiring gift.,1
This is one of the most perfect moments of my life.,1
This is one of the most optimistic moments of my life.,1
The movie was a painful waste of time and money.,0
My best friend surprised me with a inspiring gift.,1
I feel peaceful about this new opportunity!,1
The weather today is absolutely delighted for a picnic.,1
I feel love about this new opportunity!,1
I feel delighted about this new opportunity!,1
The movie was a hopeless waste of time and money.,0
This is one of the most optimistic moments of my life.,1
The service at the restaurant was broken and ruined my evening.,0
The movie was a ruined waste of time and money.,0
I'm so grateful to see the progress we've made.,1
The movie was a frustrating waste of time and money.,0
I'm so delighted to see the progress we've made.,1
The service at the restaurant was terrible and ruined my evening.,0
I'm deeply disappointing by the recent news.,0
I can't believe how frustrating this situation turned out.,0
The service at the restaurant was hopeless and ruined my evening.,0
My best friend surprised me with a thrilled gift.,1
This decision feels completely failed to everyone involved.,0
This is one of the most perfect moments of my life.,1
This is one of the most perfect moments of my life.,1
The movie was a dreadful waste of time and money.,0
The movie was a disastrous waste of time and money.,0
This decision feels completely unbearable to everyone involved.,0
I'm so grateful to see the progress we've made.,1
I'm deeply ruined by the recent news.,0
I can't believe how angry this situation turned out.,0
The movie was a broken waste of time and money.,0
This decision feels completely frustrating to everyone involved.,0
I feel grateful about this new opportunity!,1
This decision feels completely disastrous to everyone involved.,0
The service at the restaurant was awful and ruined my evening.,0
This decision feels completely disastrous to everyone involved.,0
The weather today is absolutely peaceful for a picnic.,1
I'm deeply dreadful by the recent news.,0
This decision feels completely frustrating to everyone involved.,0
This is one of the most peaceful moments of my life.,1
My best friend surprised me with a amazing gift.,1
This decision feels completely unbearable to everyone involved.,0
I can't believe how hopeless this situation turned out.,0
The service at the restaurant was painful and ruined my evening.,0
The movie was a failed waste of time and money.,0
I'm so successful to see the progress we've made.,1
I'm deeply dreadful by the recent news.,0
I feel bright about this new opportunity!,1
I'm so perfect to see the progress we've made.,1
I can't believe how frustrating this situation turned out.,0
I'm so peaceful to see the progress we've made.,1
I'm deeply awful by the recent news.,0
The service at the restaurant was miserable and ruined my evening.,0
I'm deeply unbearable by the recent news.,0
This is one of the most love moments of my life.,1
My best friend surprised me with a excited gift.,1
The weather today is absolutely successful for a picnic.,1
This decision feels completely disastrous to everyone involved.,0
My best friend surprised me with a love gift.,1
I'm deeply ruined by the recent news.,0
This is one of the most fantastic moments of my life.,1
The weather today is absolutely inspiring for a picnic.,1
I'm so grateful to see the progress we've made.,1
The weather today is absolutely fantastic for a picnic.,1
The movie was a broken waste of time and money.,0
I feel delighted about this new opportunity!,1
The service at the restaurant was painful and ruined my evening.,0
My best friend surprised me with a fantastic gift.,1
I'm deeply painful by the recent news.,0
The movie was a hopeless waste of time and money.,0
The movie was a dreadful waste of time and money.,0
I feel amazing about this new opportunity!,1
This is one of the most joyful moments of my life.,1
I'm deeply awful by the recent news.,0
This is one of the most grateful moments of my life.,1
I'm deeply dreadful by the recent news.,0
I feel inspiring about this new opportunity!,1
This decision feels completely broken to everyone involved.,0
The movie was a frustrating waste of time and money.,0
This is one of the most peaceful moments of my life.,1
This is one of the most grateful moments of my life.,1
I'm deeply ruined by the recent news.,0
The service at the restaurant was dreadful and ruined my evening.,0
My best friend surprised me with a inspiring gift.,1
The movie was a unbearable waste of time and money.,0
The weather today is absolutely bright for a picnic.,1
This is one of the most inspiring moments of my life.,1
The movie was a terrible waste of time and money.,0
I feel grateful about this new opportunity!,1
I'm so thrilled to see the progress we've made.,1
I feel inspiring about this new opportunity!,1
I can't believe how broken this situation turned out.,0
The service at the restaurant was angry and ruined my evening.,0
I feel wonderful about this new opportunity!,1
I'm deeply failed by the recent news.,0
I'm so wonderful to see the progress we've made.,1
The movie was a disappointing waste of time and money.,0
I feel amazing about this new opportunity!,1
The service at the restaurant was miserable and ruined my evening.,0
The movie was a ruined waste of time and money.,0
The movie was a painful waste of time and money.,0
The movie was a unbearable waste of time and money.,0
This decision feels completely miserable to everyone involved.,0
This decision feels completely angry to everyone involved.,0
The movie was a broken waste of time and money.,0
I'm so delighted to see the progress we've made.,1
The weather today is absolutely delighted for a picnic.,1
The service at the restaurant was ruined and ruined my evening.,0
The movie was a hopeless waste of time and money.,0
The movie was a dreadful waste of time and money.,0
I feel joyful about this new opportunity!,1
I'm so perfect to see the progress we've made.,1
The service at the restaurant was miserable and ruined my evening.,0
I'm so inspiring to see the progress we've made.,1
I feel excited about this new opportunity!,1
The weather today is absolutely fantastic for a picnic.,1
I'm deeply hopeless by the recent news.,0
I'm so love to see the progress we've made.,1
This decision feels completely dreadful to everyone involved.,0
This is one of the most excited moments of my life.,1
The weather today is absolutely bright for a picnic.,1
The movie was a unbearable waste of time and money.,0
This is one of the most grateful moments of my life.,1
The service at the restaurant was awful and ruined my evening.,0
This is one of the most delighted moments of my life.,1
The weather today is absolutely amazing for a picnic.,1
I can't believe how angry this situation turned out.,0
I'm so peaceful to see the progress we've made.,1
I feel thrilled about this new opportunity!,1
I'm so delighted to see the progress we've made.,1
My best friend surprised me with a perfect gift.,1
This decision feels completely dreadful to everyone involved.,0
My best friend surprised me with a successful gift.,1
The service at the restaurant was miserable and ruined my evening.,0
I can't believe how terrible this situation turned out.,0
I can't believe how unbearable this situation turned out.,0
This is one of the most successful moments of my life.,1
I'm so excited to see the progress we've made.,1
This decision feels completely disastrous to everyone involved.,0
My best friend surprised me with a love gift.,1
The weather today is absolutely excited for a picnic.,1
I can't believe how miserable this situation turned out.,0
The service at the restaurant was ruined and ruined my evening.,0
My best friend surprised me with a peaceful gift.,1
I'm so perfect to see the progress we've made.,1
This decision feels completely hopeless to everyone involved.,0
The service at the restaurant was painful and ruined my evening.,0
The weather today is absolutely optimistic for a picnic.,1
I'm deeply terrible by the recent news.,0
I can't believe how sad this situation turned out.,0
This is one of the most inspiring moments of my life.,1
I'm so joyful to see the progress we've made.,1
The service at the restaurant was dreadful and ruined my evening.,0
I'm so fantastic to see the progress we've made.,1
My best friend surprised me with a amazing gift.,1
My best friend surprised me with a fantastic gift.,1
This is one of the most amazing moments of my life.,1
I feel fantastic about this new opportunity!,1
I can't believe how awful this situation turned out.,0
I'm deeply failed by the recent news.,0
This is one of the most amazing moments of my life.,1
This is one of the most wonderful moments of my life.,1
The weather today is absolutely fantastic for a picnic.,1
I feel peaceful about this new opportunity!,1
The service at the restaurant was painful and ruined my evening.,0
I'm deeply disappointing by the recent news.,0
This is one of the most inspiring moments of my life.,1
The weather today is absolutely successful for a picnic.,1
The weather today is absolutely bright for a picnic.,1
My best friend surprised me with a amazing gift.,1
The service at the restaurant was unbearable and ruined my evening.,0
This is one of the most love moments of my life.,1
This decision feels completely angry to everyone involved.,0
I'm deeply awful by the recent news.,0
The service at the restaurant was broken and ruined my evening.,0
I'm so grateful to see the progress we've made.,1
I can't believe how ruined this situation turned out.,0
I feel thrilled about this new opportunity!,1
The weather today is absolutely fantastic for a picnic.,1
This decision feels completely dreadful to everyone involved.,0
I feel successful about this new opportunity!,1
I feel wonderful about this new opportunity!,1
This is one of the most fantastic moments of my life.,1
I'm deeply failed by the recent news.,0
The weather today is absolutely perfect for a picnic.,1
The weather today is absolutely perfect for a picnic.,1
The movie was a miserable waste of time and money.,0
My best friend surprised me with a wonderful gift.,1
The weather today is absolutely perfect for a picnic.,1
I'm so optimistic to see the progress we've made.,1
This decision feels completely broken to everyone involved.,0
The service at the restaurant was painful and ruined my evening.,0
I feel inspiring about this new opportunity!,1
I'm so delighted to see the progress we've made.,1
The movie was a sad waste of time and money.,0
My best friend surprised me with a excited gift.,1
This decision feels completely miserable to everyone involved.,0
The weather today is absolutely bright for a picnic.,1
The weather today is absolutely delighted for a picnic.,1
The weather today is absolutely bright for a picnic.,1
My best friend surprised me with a bright gift.,1
This decision feels completely disastrous to everyone involved.,0
I'm deeply awful by the recent news.,0
I can't believe how broken this situation turned out.,0
The weather today is absolutely grateful for a picnic.,1
The movie was a disappointing waste of time and money.,0
I'm deeply failed by the recent news.,0
My best friend surprised me with a excited gift.,1
This decision feels completely unbearable to everyone involved.,0
I'm so peaceful to see the progress we've made.,1
I can't believe how angry this situation turned out.,0
This is one of the most delighted moments of my life.,1
I can't believe how sad this situation turned out.,0
The weather today is absolutely peaceful for a picnic.,1
I feel peaceful about this new opportunity!,1
My best friend surprised me with a inspiring gift.,1
I feel fantastic about this new opportunity!,1
This decision feels completely dreadful to everyone involved.,0
This is one of the most amazing moments of my life.,1
I'm so love to see the progress we've made.,1
I'm deeply broken by the recent news.,0
I'm so wonderful to see the progress we've made.,1
The movie was a disastrous waste of time and money.,0
I'm so joyful to see the progress we've made.,1
The service at the restaurant was ruined and ruined my evening.,0
The weather today is absolutely successful for a picnic.,1
I feel successful about this new opportunity!,1
The weather today is absolutely amazing for a picnic.,1
I'm deeply angry by the recent news.,0
I feel peaceful about this new opportunity!,1
My best friend surprised me with a peaceful gift.,1
My best friend surprised me with a successful gift.,1
The movie was a terrible waste of time and money.,0
This is one of the most thrilled moments of my life.,1
I'm deeply unbearable by the recent news.,0
The service at the restaurant was disappointing and ruined my evening.,0
The movie was a painful waste of time and money.,0
I can't believe how ruined this situation turned out.,0
I'm deeply dreadful by the recent news.,0
My best friend surprised me with a peaceful gift.,1
I can't believe how unbearable this situation turned out.,0
I can't believe how miserable this situation turned out.,0
I'm deeply angry by the recent news.,0
This is one of the most thrilled moments of my life.,1
The movie was a broken waste of time and money.,0
I'm so grateful to see the progress we've made.,1
I'm so peaceful to see the progress we've made.,1
This is one of the most excited moments of my life.,1
I'm so excited to see the progress we've made.,1
This is one of the most amazing moments of my life.,1
The weather today is absolutely inspiring for a picnic.,1
The movie was a miserable waste of time and money.,0
I can't believe how ruined this situation turned out.,0
The weather today is absolutely joyful for a picnic.,1
I can't believe how hopeless this situation turned out.,0
The movie was a ruined waste of time and money.,0
This is one of the most inspiring moments of my life.,1
This is one of the most delighted moments of my life.,1
The movie was a unbearable waste of time and money.,0
I can't believe how miserable this situation turned out.,0
My best friend surprised me with a inspiring gift.,1
This decision feels completely terrible to everyone involved.,0
The weather today is absolutely inspiring for a picnic.,1
I'm so delighted to see the progress we've made.,1
This decision feels completely dreadful to everyone involved.,0
I'm so successful to see the progress we've made.,1
My best friend surprised me with a peaceful gift.,1
I'm deeply frustrating by the recent news.,0
I feel successful about this new opportunity!,1
This is one of the most perfect moments of my life.,1
My best friend surprised me with a amazing gift.,1
The movie was a frustrating waste of time and money.,0
The weather today is absolutely inspiring for a picnic.,1
I'm deeply hopeless by the recent news.,0
This decision feels completely broken to everyone involved.,0
My best friend surprised me with a successful gift.,1
The service at the restaurant was painful and ruined my evening.,0
The weather today is absolutely delighted for a picnic.,1
My best friend surprised me with a fantastic gift.,1
The service at the restaurant was miserable and ruined my evening.,0
This decision feels completely angry to everyone involved.,0
This decision feels completely hopeless to everyone involved.,0
I can't believe how terrible this situation turned out.,0
I can't believe how miserable this situation turned out.,0
The movie was a miserable waste of time and money.,0
I can't believe how failed this situation turned out.,0
My best friend surprised me with a love gift.,1
I'm so optimistic to see the progress we've made.,1
This decision feels completely frustrating to everyone involved.,0
I can't believe how angry this situation turned out.,0
This decision feels completely frustrating to everyone involved.,0
My best friend surprised me with a wonderful gift.,1
The service at the restaurant was disastrous and ruined my evening.,0
I'm so fantastic to see the progress we've made.,1
This is one of the most optimistic moments of my life.,1
I can't believe how awful this situation turned out.,0
I can't believe how unbearable this situation turned out.,0
This decision feels completely angry to everyone involved.,0
My best friend surprised me with a inspiring gift.,1
I can't believe how awful this situation turned out.,0
This decision feels completely miserable to everyone involved.,0
I'm so perfect to see the progress we've made.,1
The service at the restaurant was broken and ruined my evening.,0
I can't believe how terrible this situation turned out.,0
The service at the restaurant was failed and ruined my evening.,0
This is one of the most joyful moments of my life.,1
This decision feels completely angry to everyone involved.,0
The movie was a dreadful waste of time and money.,0
This is one of the most wonderful moments of my life.,1
I'm so perfect to see the progress we've made.,1
The movie was a awful waste of time and money.,0
The service at the restaurant was miserable and ruined my evening.,0
The service at the restaurant was frustrating and ruined my evening.,0
The weather today is absolutely successful for a picnic.,1
I'm so amazing to see the progress we've made.,1
This is one of the most inspiring moments of my life.,1
This decision feels completely failed to everyone involved.,0
The service at the restaurant was miserable and ruined my evening.,0
I'm deeply sad by the recent news.,0
I'm deeply angry by the recent news.,0
I'm deeply failed by the recent news.,0
My best friend surprised me with a thrilled gift.,1
This decision feels completely unbearable to everyone involved.,0
My best friend surprised me with a joyful gift.,1
I'm so love to see the progress we've made.,1
This is one of the most wonderful moments of my life.,1
The movie was a broken waste of time and money.,0
This is one of the most delighted moments of my life.,1
I feel amazing about this new opportunity!,1
I'm so peaceful to see the progress we've made.,1
This decision feels completely unbearable to everyone involved.,0
I feel perfect about this new opportunity!,1
The weather today is absolutely optimistic for a picnic.,1
I can't believe how unbearable this situation turned out.,0
My best friend surprised me with a delighted gift.,1
This is one of the most optimistic moments of my life.,1
I'm deeply angry by the recent news.,0
This is one of the most optimistic moments of my life.,1
I feel delighted about this new opportunity!,1
I'm deeply ruined by the recent news.,0
My best friend surprised me with a wonderful gift.,1
The weather today is absolutely thrilled for a picnic.,1
I'm deeply ruined by the recent news.,0
I'm deeply disastrous by the recent news.,0
I'm deeply dreadful by the recent news.,0
The movie was a failed waste of time and money.,0
I'm so delighted to see the progress we've made.,1
I can't believe how broken this situation turned out.,0
I'm deeply disappointing by the recent news.,0
This is one of the most amazing moments of my life.,1
My best friend surprised me with a love gift.,1
This decision feels completely dreadful to everyone involved.,0
I feel bright about this new opportunity!,1
I'm deeply disastrous by the recent news.,0
I can't believe how terrible this situation turned out.,0
This decision feels completely frustrating to everyone involved.,0
My best friend surprised me with a wonderful gift.,1
This is one of the most optimistic moments of my life.,1
I'm so love to see the progress we've made.,1
This decision feels completely awful to everyone involved.,0
The weather today is absolutely grateful for a picnic.,1
I feel peaceful about this new opportunity!,1
This decision feels completely frustrating to everyone involved.,0
The service at the restaurant was terrible and ruined my evening.,0
The service at the restaurant was frustrating and ruined my evening.,0
I can't believe how unbearable this situation turned out.,0
This is one of the most excited moments of my life.,1
My best friend surprised me with a delighted gift.,1
The service at the restaurant was angry and ruined my evening.,0
The service at the restaurant was failed and ruined my evening.,0
My best friend surprised me with a delighted gift.,1
I feel love about this new opportunity!,1
The service at the restaurant was terrible and ruined my evening.,0
The service at the restaurant was awful and ruined my evening.,0
The weather today is absolutely inspiring for a picnic.,1
I feel love about this new opportunity!,1
This is one of the most grateful moments of my life.,1
The weather today is absolutely amazing for a picnic.,1
I can't believe how failed this situation turned out.,0
I'm deeply dreadful by the recent news.,0
I can't believe how angry this situation turned out.,0
This is one of the most wonderful moments of my life.,1
I can't believe how hopeless this situation turned out.,0
This decision feels completely frustrating to everyone involved.,0
The service at the restaurant was failed and ruined my evening.,0
I can't believe how disappointing this situation turned out.,0
My best friend surprised me with a successful gift.,1
The service at the restaurant was disappointing and ruined my evening.,0
I feel thrilled about this new opportunity!,1
My best friend surprised me with a inspiring gift.,1
I can't believe how painful this situation turned out.,0
This decision feels completely broken to everyone involved.,0
This decision feels completely frustrating to everyone involved.,0
My best friend surprised me with a successful gift.,1
I'm so excited to see the progress we've made.,1
I'm deeply failed by the recent news.,0
This decision feels completely ruined to everyone involved.,0
I'm deeply miserable by the recent news.,0
This is one of the most delighted moments of my life.,1
I can't believe how hopeless this situation turned out.,0
I'm so wonderful to see the progress we've made.,1
The weather today is absolutely bright for a picnic.,1
This is one of the most grateful moments of my life.,1
The movie was a sad waste of time and money.,0
The movie was a broken waste of time and money.,0
